angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9
4.0,0.0,4.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0
3.0,4.0,4.0,2.0,4.0,0.0,3.0,1.0,3.0,2.0
0.0,0.0,2.0,0.0,2.0,1.8750000000000016,3.0,1.7999999999999923,1.0,1.0
3.0,2.0,2.0,2.0,2.0,0.0,3.0,1.0,1.0,2.0
0.0,0.0,0.0,4.0,1.0,2.0,2.0,2.0,1.0,2.0
0.0,0.0,2.0,4.0,4.0,4.0,1.571428571428581,1.0000000000000326,1.0,2.0
0.0,0.0,3.0,1.0,2.0,1.749999999999996,3.0,4.0,1.0,1.0
0.0,4.0,4.0,0.0,1.0,3.0,1.0,2.0,1.0,2.0
0.0,3.0,2.6666666666666665,4.0,4.0,2.0,1.0,3.0,1.0,2.0
4.0,0.0,2.0,1.0,2.0,1.437500000000002,1.0,4.0,1.0,1.0
3.0,2.0,4.0,0.18181818181819032,1.0,3.0,1.0,2.0,1.0,2.0
2.3529411764706043,3.0,4.0,4.0,3.0,2.0,2.0,0.0,3.0,0.5714285714285552
0.0,4.0,0.222222222222192,4.0,3.0,3.0,2.0,3.0,1.0,4.0
0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.7142857142857226
0.0,0.0,2.0,4.0,3.0,1.124999999999996,0.0,3.0,0.0,2.0
4.0,0.0,2.0,4.0,4.0,1.0,0.0,3.0,2.0,2.0
4.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0
4.0,0.0,4.0,2.0,3.0,0.0,0.0,3.0,0.0,0.0
4.0,0.0,4.0,4.0,3.0,0.0,0.0,3.0,0.0,0.0
0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,4.0
0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
4.0,0.0,2.0,1.2,3.0,0.0,0.0,4.0,0.0,4.0
2.0,0.0,3.0,0.0,3.0,2.0,2.0,1.0,0.0,2.0
2.0,4.0,2.0,0.0,0.0,1.0,0.0,2.0,1.333333333333354,2.0
3.0,4.0,1.0,1.1874999999999993,2.0,0.0,2.0,2.0,4.0,2.0
3.0,4.0,1.0,1.625,1.0,1.0,1.0,1.0,4.0,0.0
3.0,4.0,3.5,3.0,1.0,0.0,1.0,2.0,4.0,0.0
3.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,4.0,0.0
0.0,4.0,4.0,1.0,1.0,1.0,1.1000000000000028,0.0,3.0,2.0
3.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0
3.0,4.0,1.0,3.0,2.0,0.0,1.0,1.0,3.0,2.0
3.0,4.0,4.0,3.0,3.0,0.0,1.0,1.0,3.0,2.0
3.0,4.0,2.0,1.0,1.0,0.0,2.0,0.0,3.0,0.5263157894736822
3.0,4.0,1.0,2.75,1.0,2.0,1.0,1.0,3.076923076923063,2.0
3.0,4.0,1.0,3.0,1.583333333333333,0.0,1.0,1.0,3.0,1.0
3.0,4.0,2.0,1.0,4.0,0.0,1.0,2.0,3.0,1.0
1.7142857142858121,2.0,3.0,2.0,4.0,1.0,4.0,0.0,4.0,2.0
0.0,0.0,4.0,1.0,4.0,1.0,1.0,1.0,4.0,2.0
1.0,4.0,2.600000000000043,3.0,3.0,3.0,1.0,0.0,1.0,3.0
1.0,2.0,1.0,1.0,3.0,1.8,1.0,2.0,1.0,1.0
1.0,2.0,3.0,1.0,3.833333333333375,0.0,3.0,0.0,1.0,3.0
0.0,3.0,3.0,3.0,1.0,0.0,2.0,2.0,3.0,0.0
0.0,3.0,3.0,2.0,4.0,1.0,1.7999999999999956,2.0,4.0,0.0
3.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,4.0,2.0
3.0,0.0,4.0,2.0,1.0,2.2,4.0,2.0,4.0,2.0
3.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,4.0,2.0
3.0,3.0,4.0,2.0,4.0,3.0,3.0,1.0,3.0,2.0
3.0,3.0,1.0,2.0,1.0,2.0,4.0,2.0,3.0,0.0
0.0,3.0,4.0,0.0,1.0,3.0,3.0,2.0,4.0,4.0
3.0,0.0,1.0,2.0,1.0,2.20000000000005,3.0,2.0,4.0,4.0
4.0,1.0,3.0,1.4654943925052066e-14,1.0,1.8000000000000127,4.0,2.0,3.0,4.0
1.0,3.0,3.0,2.0,1.0,1.400000000000025,4.0,4.0,4.0,4.0
3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0
4.0,3.0,4.0,4.0,1.0,3.0,1.0,1.0,1.4615384615384452,2.0
3.0,2.0,0.0,2.0,2.0,0.0,3.0,4.0,1.0,2.0
3.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,1.0,1.0
4.0,3.0,4.0,4.0,4.0,2.0,0.0,0.0,1.0,2.0
4.0,0.0,4.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0
3.0,4.0,4.0,2.0,4.0,0.0,3.0,1.0,3.0,0.0
3.0,0.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0
3.0,4.0,2.0,0.0,2.0,3.0,3.0,1.0,1.0,2.0
0.0,0.0,0.0,4.0,1.0,4.0,2.0,2.0,1.0,2.0
2.6249999999999805,2.0714285714286147,2.0,0.0,1.0,3.5714285714286103,1.571428571428581,2.0,1.0,0.0
0.0,4.0,3.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0
0.0,0.0,4.0,4.0,1.0,2.0,1.0,2.0,1.0,2.0
2.0,1.0,4.0,1.0,1.5294117647058822,1.0,1.0,4.0,1.0,0.0
3.0,2.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0
0.0,3.0,0.0,4.0,4.0,4.0,1.2500000000000044,0.0,3.0,4.0
0.0,4.0,0.0,4.0,3.0,0.0,0.0,0.0,2.0,4.0
0.0,0.0,4.0,0.0,3.0,3.0,2.0,0.0,0.0,2.0
0.0,0.0,2.0,0.44444444444444203,0.0,1.0,0.0,3.0,0.0,2.0
4.0,0.0,2.0,0.0,4.0,0.0,0.0,3.0,2.0,2.0
4.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,4.0,3.111111111111111,0.5294117647058167,0.0,0.0,3.0,0.0,0.0
4.0,0.0,3.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0
0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,4.0
0.0,0.0,3.6153846153846185,1.7777777777777777,0.0,3.0,0.0,3.0,0.0,0.0
4.0,0.0,3.0,0.0,3.0,1.0,1.0,1.0,2.0,4.0
2.0,0.0,2.0,0.0,3.0,3.0,0.7499999999999731,2.0,0.0,2.0
2.0,4.0,4.0,2.0,0.0,4.0,2.0,2.0,4.0,2.0
3.0,4.0,1.0,1.0,2.0,0.0,1.0,1.0,4.0,2.0
3.0,4.0,3.0,3.0,1.0,0.0,1.0,2.0,4.0,0.0
3.0,4.0,2.0,1.0,2.0,3.0,1.0,2.0,4.0,0.0
3.0,2.0,2.153846153846158,2.0,3.0,1.0,1.1000000000000028,0.0,3.0,0.0
0.0,4.0,1.0,1.5999999999999903,2.0,0.0,2.0,2.0,3.0,2.0
3.0,4.0,1.0,3.0,2.0,0.0,1.0,1.0,3.0,1.0
3.0,4.0,4.0,0.0,3.0,0.0,1.0,2.0,3.0,2.0
3.0,4.0,2.0,2.0,1.0,2.0,2.0,1.1428571428571166,4.0,2.0
3.0,4.0,1.0,3.0,1.0,0.0,1.0,1.0,3.0,2.0
3.0,4.0,4.0,3.0,2.0,0.0,1.0,1.0,3.0,1.5000000000000095
3.0,4.0,2.0,2.0,4.0,1.0,1.0,2.0,3.0,1.0
2.100000000000026,0.0,4.0,1.0,1.0,1.0,4.0,4.0,3.0,2.0
3.0,2.0952380952381264,1.0,3.0,3.0909090909090944,2.571428571428568,1.0,0.0,3.0,0.0
1.0,4.0,3.0,1.0,3.0,3.0,1.0,2.0,1.0,3.0
1.0,2.0,3.0,1.0,4.0,0.0,1.0,0.857142857142901,1.0,3.0
1.0,2.0,3.0,3.0,4.0,0.0,3.0,2.0,3.0,1.0
0.0,3.0,3.428571428571427,2.0,1.0,1.0,1.0,2.0,4.0,0.0
3.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,0.0
